"customer_id","first_purchase","last_purchase","active_days","avg_days_between","total_invoices","total_spend","avg_basket_size","return_ratio"
"12346",2011-01-18 10:01:00,2011-01-18 10:01:00,0,0,1,77183.6,77183.6,0
"12747",2010-12-05 15:38:00,2011-12-07 14:34:00,366.955555555556,360283.636363636,11,3827.21,43.0023595505618,0
"12748",2010-12-01 12:48:00,2011-12-09 12:20:00,372.980555555556,7566.4522188308,205,29018.3000000004,6.81180751173709,0
"12749",2011-05-10 15:25:00,2011-12-06 09:56:00,209.813194444444,114733.291139241,5,2949.88,18.5527044025157,0
"12820",2011-01-17 12:34:00,2011-12-06 15:12:00,323.109722222222,481322.068965517,4,942.34,15.9718644067797,0
"12821",2011-05-09 15:51:00,2011-05-09 15:51:00,0,0,1,75.72,15.144,0
"12822",2011-09-13 13:46:00,2011-09-30 10:04:00,16.8458333333333,33848.3720930233,2,901.98,20.4995454545455,0
"12823",2011-02-16 12:15:00,2011-09-26 07:35:00,221.763888888889,55.4409722222222,5,1759.5,351.9,0
"12824",2011-10-11 12:49:00,2011-10-11 12:49:00,0,0,1,397.12,15.8848,0
"12826",2010-12-09 15:21:00,2011-12-07 10:25:00,362.794444444444,348282.666666667,7,1474.72,16.2057142857143,0
"12827",2011-10-26 15:44:00,2011-12-04 12:17:00,38.8979166666667,140032.5,3,430.15,17.206,0
"12828",2011-08-01 16:16:00,2011-12-07 08:45:00,127.728472222222,208221.509433962,6,961.96,17.8140740740741,0
"12829",2010-12-14 14:54:00,2011-01-07 11:13:00,23.8465277777778,294334.285714286,2,132.3,16.5375,0
"12830",2011-06-21 10:53:00,2011-11-02 11:54:00,134.084027777778,313104.324324324,6,6814.64,179.332631578947,0
"12831",2011-03-22 13:02:00,2011-03-22 13:02:00,0,0,1,189.55,23.69375,0
"12832",2011-09-02 13:48:00,2011-11-07 13:30:00,66.0291666666667,219420,2,383.03,14.1862962962963,0
"12833",2011-07-17 13:46:00,2011-07-17 13:46:00,0,0,1,322.93,17.9405555555556,0
"12834",2011-03-02 09:49:00,2011-03-02 09:49:00,0,0,1,312.38,17.3544444444444,0
"12836",2011-02-01 11:19:00,2011-10-11 15:10:00,252.11875,146195.033557047,4,1962.36,13.0824,0
"12837",2011-06-19 16:07:00,2011-06-19 16:07:00,0,0,1,74.65,8.29444444444444,0
"12838",2010-12-01 11:57:00,2011-11-06 12:20:00,340.015972222222,255455.47826087,2,591.5,5.09913793103448,0
"12839",2010-12-07 15:48:00,2011-12-07 12:33:00,364.864583333333,102020.388349515,14,5508.22,17.7684516129032,0
"12840",2011-04-27 12:21:00,2011-07-19 09:29:00,82.8805555555556,63936.4285714285,4,2726.77,24.1307079646018,0
"12841",2010-12-03 10:43:00,2011-12-05 11:13:00,367.020833333333,80688.5496183207,25,3710.38,9.41720812182741,0
"12842",2011-02-04 12:36:00,2011-09-30 15:33:00,238.08125,685674,2,962.79,31.0577419354839,0
